	Estimate	Std. Error	Lower CI	Upper CI	t value	Pr(>|t|)
(Intercept)	3.50673251	0.009122922	3.488851912	3.524613108	384.3870021	0
global_subjectivity	0.100805476	0.010842186	0.079555182	0.12205577	9.297523371	1.51E-20
data_channel_is_socmed1	0.079912595	0.003771953	0.072519703	0.087305488	21.18599886	4.57E-99
data_channel_is_tech1	0.055473464	0.002665538	0.050249105	0.060697823	20.81135641	1.11E-95
LDA_03	0.049248605	0.004165541	0.041084294	0.057412915	11.82285939	3.37E-32
global_rate_positive_words	0.044389981	0.061135939	-0.075434259	0.164214221	0.726086511	0.467790028
weekday_is_saturday1	0.041347819	0.003613504	0.034265481	0.048430156	11.44258318	2.86E-30
data_channel_is_lifestyle1	0.036005963	0.003915118	0.028332472	0.043679454	9.196647339	3.87E-20
LDA_01	0.034401202	0.005169539	0.024269091	0.044533313	6.654597078	2.88E-11
log_num_hrefs	0.031625842	0.0033062	0.025145809	0.038105874	9.565617279	1.18E-21
log_num_imgs	0.027703095	0.002353346	0.023090622	0.032315569	11.77179007	6.17E-32
data_channel_is_bus1	0.027282561	0.002773378	0.021846841	0.032718281	9.837304833	8.26E-23
log_num_videos	0.025167841	0.003189976	0.018915603	0.031420079	7.889664772	3.11E-15
abs_title_subjectivity	0.023323306	0.005053539	0.013418552	0.033228061	4.615242157	3.94E-06
title_sentiment_polarity	0.013622004	0.003454463	0.00685138	0.020392627	3.943305427	8.05E-05
title_subjectivity	0.010503723	0.003805525	0.003045031	0.017962414	2.760124737	0.005780586
abs_title_sentiment_polarity	0.00679645	0.005475042	-0.003934435	0.017527334	1.241351271	0.214483364
num_keywords	0.005130332	0.000503364	0.004143757	0.006116907	10.19209452	2.31E-24
n_tokens_title	0.000742193	0.00039703	-3.59716E-05	0.001520358	1.86936218	0.061579817
kw_min_min	0.000159079	1.48E-05	1.30E-04	1.88E-04	10.7332331	7.74E-27
kw_min_avg	1.23E-05	8.22E-07	1.07E-05	1.39E-05	14.92640957	3.04E-50
kw_max_avg	1.48E-06	1.71E-07	1.15E-06	1.82E-06	8.691836904	3.70E-18
self_reference_avg_sharess	3.77E-07	3.40E-08	3.10E-07	4.43E-07	11.08172308	1.69E-28
kw_avg_max	6.79E-08	9.99E-09	4.83E-08	8.75E-08	6.797708679	1.08E-11
kw_min_max	-1.17E-07	1.61E-08	-1.49E-07	-8.57E-08	-7.276959794	3.48E-13
kw_avg_min	-1.90E-06	1.61E-06	-5.06E-06	1.26E-06	-1.179670451	0.238138397
weekday_is_friday1	-0.000568869	0.002649018	-0.005760849	0.004623111	-0.214747303	0.829965446
max_positive_polarity	-0.001243379	0.0047799	-0.01061181	0.008125053	-0.260126542	0.794767517
weekday_is_monday1	-0.00571101	0.002524924	-0.01065977	-0.00076225	-2.261854184	0.023711811
log_num_self_hrefs	-0.006439026	0.003161177	-0.012634819	-0.000243234	-2.036908087	0.041665889
max_negative_polarity	-0.007137017	0.009588673	-0.02593047	0.011656437	-0.74431746	0.456688857
min_negative_polarity	-0.008671775	0.004011785	-0.016534728	-0.000808821	-2.161575364	0.030656894
weekday_is_thursday1	-0.013972055	0.002459221	-0.01879204	-0.00915207	-5.68149576	1.34E-08
weekday_is_tuesday1	-0.015381426	0.002447653	-0.020178738	-0.010584114	-6.284152901	3.33E-10
log_n_tokens_content	-0.01685592	0.004938845	-0.026535879	-0.007175961	-3.412927245	0.000643334
data_channel_is_entertainment1	-0.033917428	0.003067017	-0.039928672	-0.027906185	-11.05876642	2.19E-28
log_n_unique_tokens	-0.047069802	0.040268472	-0.125994558	0.031854954	-1.168899621	0.242451112
min_positive_polarity	-0.050365799	0.013510958	-0.07684679	-0.023884808	-3.72777408	0.000193447
log_average_token_length	-0.061126655	0.023923529	-0.10801591	-0.014237401	-2.555085249	0.010619883
global_rate_negative_words	-0.075664122	0.091448592	-0.254900068	0.103571824	-0.827395157	0.40801811
