parameters..Estimate..,na.omit.confint.glm.data_transformed..level...0.95.....1.,na.omit.confint.glm.data_transformed..level...0.95.....2.,parameters....t.value..,parameters....Pr...t....
(Intercept),NA,3.48885191233493,3.52461310814069,384.387002090861,0
n_tokens_title,NA,-3.59716472446238e-05,0.00152035790232925,1.86936217969384,0.0615798165132747
num_keywords,NA,0.0041437566244668,0.00611690651897932,10.1920945157765,2.30513641517341e-24
data_channel_is_lifestyle1,NA,0.0283324718313272,0.0436794537729212,9.19664733944959,3.86735473724499e-20
data_channel_is_entertainment1,NA,-0.0399286718844227,-0.0279061848392804,-11.0587664245932,2.1879131214429e-28
data_channel_is_bus1,NA,0.0218468405746448,0.0327182809565424,9.83730483324507,8.25943303380984e-23
data_channel_is_socmed1,NA,0.0725197029031283,0.0873054875745642,21.1859988576425,4.56829042171698e-99
data_channel_is_tech1,NA,0.0502491052224976,0.0606978226719546,20.8113564100391,1.11263135426676e-95
kw_min_min,NA,0.000130030127185606,0.000188128052352561,10.7332330972229,7.73748234664875e-27
kw_avg_min,NA,-5.06493449979412e-06,1.25878847404818e-06,-1.17967045065428,0.23813839687105
kw_min_max,NA,-1.48877577805752e-07,-8.5697519685572e-08,-7.27695979447292,3.47749275811742e-13
kw_avg_max,NA,4.83315323143251e-08,8.74936082972076e-08,6.79770867893391,1.07799688890088e-11
kw_min_avg,NA,1.06549138481414e-05,1.38760352053443e-05,14.9264095697335,3.04047605627062e-50
kw_max_avg,NA,1.14801571322003e-06,1.81649816334438e-06,8.69183690410275,3.70042202722582e-18
self_reference_avg_sharess,NA,3.09913010882992e-07,4.43093098847516e-07,11.0817230846367,1.69479452691522e-28
weekday_is_monday1,NA,-0.0106597698698186,-0.000762249799514351,-2.26185418403909,0.0237118110013467
weekday_is_tuesday1,NA,-0.0201787382289845,-0.0105841143946222,-6.28415290113464,3.33069344604158e-10
weekday_is_thursday1,NA,-0.0187920403238098,-0.00915207009203011,-5.6814957596516,1.34456544277951e-08
weekday_is_friday1,NA,-0.00576084947530589,0.0046231105056988,-0.214747303372118,0.82996544577139
weekday_is_saturday1,NA,0.0342654813863297,0.0484301563627097,11.4425831822467,2.85819899392795e-30
LDA_01,NA,0.0242690905908649,0.0445333125429754,6.65459707808816,2.87772233849591e-11
LDA_03,NA,0.0410842944153338,0.0574129147780644,11.8228593909482,3.36917106141351e-32
global_subjectivity,NA,0.0795551821615514,0.122055769511977,9.29752337093451,1.50851700164741e-20
global_rate_positive_words,NA,-0.0754342585240796,0.164214220537913,0.726086511280994,0.467790028417859
global_rate_negative_words,NA,-0.254900067795913,0.103571824159444,-0.827395157129641,0.408018109874956
min_positive_polarity,NA,-0.0768467899759495,-0.0238848079087069,-3.72777407968637,0.000193447165264235
max_positive_polarity,NA,-0.0106118104863792,0.0081250528208601,-0.260126542140593,0.794767517082684
min_negative_polarity,NA,-0.0165347283078981,-0.000808821437552317,-2.16157536385127,0.0306568936825421
max_negative_polarity,NA,-0.0259304704142542,0.0116564369843113,-0.744317459804179,0.456688857056793
title_subjectivity,NA,0.00304503148009572,0.0179624140560304,2.76012473692484,0.00578058568916597
title_sentiment_polarity,NA,0.00685138014893799,0.020392627309481,3.94330542674507,8.05043914739674e-05
abs_title_subjectivity,NA,0.0134185517425849,0.0332280605260683,4.61524215702157,3.93867049056847e-06
abs_title_sentiment_polarity,NA,-0.00393443450699913,0.0175273342212497,1.2413512708448,0.214483364255457
log_n_tokens_content,NA,-0.0265358787725318,-0.00717596081625852,-3.41292724462094,0.000643333783726079
log_n_unique_tokens,NA,-0.125994558029896,0.0318549535863086,-1.16889962052502,0.24245111195025
log_num_hrefs,NA,0.0251458093904617,0.038105874452128,9.56561727916529,1.17712623490837e-21
log_num_self_hrefs,NA,-0.0126348190742464,-0.000243233908118936,-2.03690808706532,0.0416658894465875
log_num_imgs,NA,0.0230906219309456,0.0323155688444635,11.7717900664748,6.16749005007921e-32
log_num_videos,NA,0.0189156030359365,0.031420079070317,7.88966477237811,3.10735934789146e-15
log_average_token_length,NA,-0.108015909838464,-0.0142374006296419,-2.55508524852476,0.0106198832015893
