Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-1.3557683858314,0.119591452764748,-11.3366662456922,8.63724217008064e-30
n_tokens_title,-0.00547272906734023,0.00520958583369714,-1.05051135388556,0.293483073614755
num_keywords,0.0692525692602934,0.00665321621618589,10.4088860199397,2.25848921419006e-25
data_channel_is_lifestyle1,0.458777849336113,0.051418126534421,8.92249251883948,4.55909703793965e-19
data_channel_is_entertainment1,-0.370098664283238,0.0400938829140513,-9.23080124408538,2.68614944007112e-20
data_channel_is_bus1,0.441599033542296,0.0361163992742142,12.2271057585074,2.22734074519528e-34
data_channel_is_socmed1,1.27686870974348,0.0527581785498564,24.2022894808023,2.10461040063507e-129
data_channel_is_tech1,0.815569096872254,0.034956004385295,23.3313020527982,2.13393454379341e-120
kw_min_min,0.00235620148986973,0.00019601544390326,12.0204890132667,2.77325327923657e-33
kw_avg_min,-1.25537485248029e-05,2.72814783850192e-05,-0.460156460278063,0.64540392039296
kw_min_max,-9.45774016013503e-07,2.09745642851633e-07,-4.50914738039402,6.50886819369222e-06
kw_avg_max,5.82319173725752e-07,1.31580601561307e-07,4.42557008264198,9.6187921643104e-06
kw_min_avg,0.000153882091920496,1.08396065978468e-05,14.1962801446192,9.66060376455265e-46
kw_max_avg,1.96116984104168e-05,3.04474361088034e-06,6.44116579811013,1.1855927046999e-10
self_reference_avg_sharess,5.63830069779472e-06,7.39228608200663e-07,7.62727610274548,2.39765721651071e-14
weekday_is_monday1,-0.0895849642031778,0.0329556392954886,-2.71835006445896,0.00656083835352905
weekday_is_tuesday1,-0.204800917798099,0.0320070915653049,-6.39861067601967,1.56797070500274e-10
weekday_is_thursday1,-0.153804893114674,0.0321200305514526,-4.78844168184388,1.68081392578678e-06
weekday_is_friday1,0.0157203402759065,0.0345538975569001,0.454951290227671,0.649144282222184
weekday_is_saturday1,0.799405204115789,0.0505076726737584,15.8274012995876,2.01367693876999e-56
LDA_01,0.270034626474195,0.0681872773153449,3.96019077320493,7.48899115809425e-05
LDA_03,0.445425639977318,0.0551899325796981,8.07077702684439,6.98521806991019e-16
global_subjectivity,1.26319470176823,0.143219938089489,8.81996402609072,1.14496499558555e-18
global_rate_positive_words,0.990373763520098,0.804429658587926,1.23115023538363,0.218266679892389
global_rate_negative_words,-0.950313567441891,1.20466131324967,-0.788863688897212,0.430191680405531
min_positive_polarity,-0.551147759362747,0.178014417555293,-3.09608495161104,0.00196094172451559
max_positive_polarity,0.0100482086755838,0.062816621704151,0.159960984895177,0.872911807943879
min_negative_polarity,0.00389074368332173,0.0529181177014992,0.0735238487746042,0.94138926685317
max_negative_polarity,-0.0833800196631163,0.126153363483856,-0.660941709047547,0.508649696500073
title_subjectivity,0.151006392604478,0.0501515264074528,3.0110029229746,0.00260386346032624
title_sentiment_polarity,0.212694437557647,0.0455622689784488,4.66821434328156,3.03828837255619e-06
abs_title_subjectivity,0.259654208760366,0.0665988187215942,3.89878099558806,9.66781647996193e-05
abs_title_sentiment_polarity,-0.00496255527994958,0.0723179097919981,-0.0686213870702701,0.945290994572851
log_n_tokens_content,-0.132509309407666,0.0740358710715563,-1.78979874876592,0.0734862704176721
log_n_unique_tokens,-1.88585798923604,0.725740135351093,-2.59853065494816,0.00936236851323799
log_num_hrefs,0.361527080578844,0.0436550986947583,8.28144000101077,1.21694643515195e-16
log_num_self_hrefs,-0.250684505248209,0.0416548492335704,-6.01813497973672,1.7643804503684e-09
log_num_imgs,0.283076710988603,0.031511983763767,8.9831447334677,2.63136048297671e-19
log_num_videos,0.253450251541513,0.0421025732581471,6.0198280515424,1.74602449684502e-09
log_average_token_length,-0.515572077428728,0.388839059168557,-1.32592666624377,0.184863989216325
